best_active_feature_count,best_fitness,best_passed_count,best_precision,best_recall,candidate_id,early_stop,generation,population_avg_fitness,stage,ticker
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,10,-791.6012454302611,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,11,-775.9402031474027,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,12,-774.9014829962925,stage3,AEVA
1,115.5072463768116,8,1.0,0.4444444444444444,stage3:AEVA:3c4e598fa5c7,False,13,-747.2538963400442,stage3,AEVA
1,115.5072463768116,8,1.0,0.4444444444444444,stage3:AEVA:3c4e598fa5c7,False,14,-756.9037348277836,stage3,AEVA
1,115.5072463768116,8,1.0,0.4444444444444444,stage3:AEVA:3c4e598fa5c7,False,15,-782.2585117896858,stage3,AEVA
1,115.5072463768116,8,1.0,0.4444444444444444,stage3:AEVA:3c4e598fa5c7,False,16,-773.3060846934577,stage3,AEVA
1,115.5072463768116,8,1.0,0.4444444444444444,stage3:AEVA:3c4e598fa5c7,False,17,-756.1814299293325,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,18,-754.9675790478016,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,19,-711.8584754870756,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,20,-746.3979338911956,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,21,-798.1835083960424,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,22,-781.1031930695738,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,23,-799.1723071407005,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,24,-763.7757185971784,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,25,-729.432387237423,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,26,-746.8364536052715,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,27,-737.6736579769868,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,28,-711.9710134700368,stage3,AEVA
2,115.84927536231885,10,1.0,0.5555555555555556,stage3:AEVA:3c4e598fa5c7,False,29,-702.9534570190904,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,30,-728.2345427410942,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,31,-737.3467223178204,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,32,-746.6940030191729,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,33,-763.6402084767853,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,34,-720.4405504175587,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,35,-721.0910465773314,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,36,-754.7704151798157,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,37,-738.0069751812118,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,38,-772.4681728974529,stage3,AEVA
2,117.18260869565218,12,1.0,0.6666666666666666,stage3:AEVA:3c4e598fa5c7,False,39,-789.7674721025724,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,40,-721.0414252371836,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,41,-789.423141363656,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,42,-729.583739095317,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,43,-720.1895951250436,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,44,-806.2677469326416,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,45,-747.3378930072452,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,46,-686.4099538480688,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,47,-737.7825094280342,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,48,-729.3472978706973,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,49,-772.0051064507876,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,50,-719.4281477906973,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,51,-745.9411744825977,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,52,-668.7766366046836,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,53,-744.7734504192215,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,54,-736.8023854004917,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,55,-719.3071359724213,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,56,-789.1342250335781,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,57,-746.5563833385285,stage3,AEVA
2,117.84927536231885,13,1.0,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,True,58,-747.5920438601165,stage3,AEVA
2,69.96969696969695,11,0.5454545454545454,0.5454545454545454,stage3:ALGT:aec5dd5b1dc1,False,1,-805.8504202445838,stage3,ALGT
1,70.96969696969695,11,0.5454545454545454,0.5454545454545454,stage3:ALGT:aec5dd5b1dc1,False,2,-803.216516149547,stage3,ALGT
1,70.96969696969695,11,0.5454545454545454,0.5454545454545454,stage3:ALGT:aec5dd5b1dc1,False,3,-802.9294495970737,stage3,ALGT
1,70.96969696969695,11,0.5454545454545454,0.5454545454545454,stage3:ALGT:aec5dd5b1dc1,False,4,-793.8958332984311,stage3,ALGT
1,70.96969696969695,11,0.5454545454545454,0.5454545454545454,stage3:ALGT:aec5dd5b1dc1,False,5,-744.2701047648924,stage3,ALGT
