base_rate,coverage,decision_threshold,gate_fail_reasons,lift_pp,model_hash,pass_probability,passed_count,passed_gate,passed_positive_count,positive_count,precision,precision_floor,recall,regime,sample_floor,signal_count,survivor,ticker
0.4058252427184466,0.019417475728155338,0.4741411451398136,"[""precision<0.6500""]",-0.5825242718446588,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,0.8,10,False,4,209,0.4,0.65,0.019138755980861243,stress,8,515,False,AEIS
0.5476190476190477,0.03571428571428571,0.4741411451398136,"[""precision<0.6500""]",-10.317460317460325,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,0.8,9,False,4,138,0.4444444444444444,0.65,0.028985507246376812,oos,8,252,False,AEIS
0.4340878828229028,0.03195739014647137,0.5140878828229027,[],31.591211717709722,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,0.75,24,True,18,326,0.75,0.5140878828229027,0.05521472392638037,train,20,751,False,ARKW
0.4058252427184466,0.031067961165048542,0.5140878828229027,"[""precision<0.6000""]",3.167475728155339,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,0.75,16,False,7,209,0.4375,0.6,0.03349282296650718,stress,8,515,False,ARKW
0.2896825396825397,0.031746031746031744,0.5140878828229027,"[""precision<0.6000""]",-16.468253968253972,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,0.75,8,False,1,73,0.125,0.6,0.0136986301369863,oos,8,252,False,ARKW
0.43275632490013316,0.02929427430093209,0.5127563249001331,[],38.542549328168505,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,0.8181818181818182,22,True,18,325,0.8181818181818182,0.5127563249001331,0.055384615384615386,train,20,751,False,CBRL
0.34951456310679613,0.02524271844660194,0.5127563249001331,"[""precision<0.6682""]",18.89469753547423,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,0.8181818181818182,13,False,7,180,0.5384615384615384,0.6681818181818182,0.03888888888888889,stress,8,515,False,CBRL
0.47619047619047616,0.047619047619047616,0.5127563249001331,"[""precision<0.6682""]",10.71428571428572,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,0.8181818181818182,12,False,7,120,0.5833333333333334,0.6681818181818182,0.058333333333333334,oos,8,252,False,CBRL
0.440745672436751,0.02663115845539281,0.520745672436751,[],15.925432756324899,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,0.6,20,True,12,331,0.6,0.520745672436751,0.03625377643504532,train,20,751,False,BTU
0.6563106796116505,0.02912621359223301,0.520745672436751,"[""precision<0.6863""]",1.035598705501617,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,0.6,15,False,10,338,0.6666666666666666,0.6863106796116505,0.029585798816568046,stress,8,515,False,BTU
0.5873015873015873,0.051587301587301584,0.520745672436751,"[""precision<0.6173""]",2.8083028083028094,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,0.6,13,False,8,148,0.6153846153846154,0.6173015873015874,0.05405405405405406,oos,8,252,False,BTU
0.5086551264980027,0.02929427430093209,0.5886551264980027,[],40.04357825929063,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,0.9090909090909091,22,True,20,382,0.9090909090909091,0.5886551264980027,0.05235602094240838,train,20,751,False,BB
0.4970873786407767,0.021359223300970873,0.5886551264980027,"[""precision<0.7591""]",-13.345101500441302,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,0.9090909090909091,11,False,4,256,0.36363636363636365,0.759090909090909,0.015625,stress,8,515,False,BB
0.4801587301587302,0.01984126984126984,0.5886551264980027,"[""passed_count<8"", ""precision<0.7591""]",-8.015873015873016,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,0.9090909090909091,5,False,2,121,0.4,0.759090909090909,0.01652892561983471,oos,8,252,False,BB
0.30492676431424764,0.02663115845539281,0.45,[],34.50732356857524,ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,0.65,20,True,13,229,0.65,0.45,0.056768558951965066,train,20,751,False,BN
0.2524271844660194,0.02330097087378641,0.45,"[""precision<0.5000""]",8.09061488673139,ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,0.65,12,False,4,130,0.3333333333333333,0.5,0.03076923076923077,stress,8,515,False,BN
0.2698412698412698,0.015873015873015872,0.45,"[""passed_count<8"", ""precision<0.5000""]",-26.984126984126984,ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,0.65,4,False,0,68,0.0,0.5,0.0,oos,8,252,False,BN
0.5512649800266312,0.02796271637816245,0.6312649800266311,[],25.825882949717837,16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,0.8095238095238095,21,True,17,414,0.8095238095238095,0.6312649800266311,0.04106280193236715,train,20,751,False,ACMR
0.5825242718446602,0.02330097087378641,0.6312649800266311,"[""precision<0.6595""]",-24.919093851132683,16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,0.8095238095238095,12,False,4,300,0.3333333333333333,0.6595238095238095,0.013333333333333334,stress,8,515,False,ACMR
