candidate_id,mean_forward_max_return_pct,median_forward_max_return_pct,positive_count,positive_rate,regime,scope,signal_count,ticker
stage3:ADPT:78c31f1ca209,5.118328279579155,4.07523882716192,76,0.6178861788617886,all,ENTITY,123,ADPT
stage3:AEIS:6e26f08a7c6d,2.6474203288411764,1.7091799008781328,8,0.42105263157894735,stress,ENTITY,19,AEIS
stage3:AEIS:6e26f08a7c6d,2.177149082369696,1.8868556888774646,8,0.25,train,ENTITY,32,AEIS
stage3:AEIS:6e26f08a7c6d,3.652514487904489,2.8314410525311584,7,0.4375,oos,ENTITY,16,AEIS
stage3:AEIS:6e26f08a7c6d,2.662835652093798,2.3037933043652092,23,0.34328358208955223,all,ENTITY,67,AEIS
stage3:AES:2bd518bc9a7e,2.5545980744032946,2.8891000264860134,7,0.4666666666666667,stress,ENTITY,15,AES
stage3:AES:2bd518bc9a7e,2.4816665981429717,1.9711461354816717,4,0.2857142857142857,train,ENTITY,14,AES
stage3:AES:2bd518bc9a7e,2.0254309952793794,0.9285722460065537,1,0.3333333333333333,oos,ENTITY,3,AES
stage3:AES:2bd518bc9a7e,2.473081139871536,2.1147154763714315,12,0.375,all,ENTITY,32,AES
stage3:AEVA:3c4e598fa5c7,5.657994105691591,4.611644844654328,12,0.7058823529411765,stress,ENTITY,17,AEVA
stage3:AEVA:3c4e598fa5c7,6.310172463295147,5.510205638651944,18,0.782608695652174,train,ENTITY,23,AEVA
stage3:AEVA:3c4e598fa5c7,11.293153668503248,6.514995961430925,11,0.8461538461538461,oos,ENTITY,13,AEVA
stage3:AEVA:3c4e598fa5c7,7.323223851756371,5.714287076677604,41,0.7735849056603774,all,ENTITY,53,AEVA
stage3:ALGT:aec5dd5b1dc1,3.3420605793732876,2.8759266819670004,10,0.5,stress,ENTITY,20,ALGT
stage3:ALGT:aec5dd5b1dc1,2.503705960570246,1.7954964748297275,11,0.3333333333333333,train,ENTITY,33,ALGT
stage3:ALGT:aec5dd5b1dc1,4.041684245545334,4.28509258719727,16,0.7272727272727273,oos,ENTITY,22,ALGT
stage3:ALGT:aec5dd5b1dc1,3.1784074891770833,2.9883149798441533,37,0.49333333333333335,all,ENTITY,75,ALGT
stage3:AMD:a01b055a1d13,3.0430156495115788,2.7737848254632214,10,0.47619047619047616,stress,ENTITY,21,AMD
stage3:AMD:a01b055a1d13,3.490943673230078,2.4525835358552017,11,0.4230769230769231,train,ENTITY,26,AMD
stage3:AMD:a01b055a1d13,4.828257488570267,4.204566232525275,8,0.6153846153846154,oos,ENTITY,13,AMD
stage3:AMD:a01b055a1d13,3.6239201915856443,2.9848588374424834,29,0.48333333333333334,all,ENTITY,60,AMD
stage3:AMSC:57bf3f342f43,8.101518085210797,4.484929005732741,13,0.6842105263157895,stress,ENTITY,19,AMSC
stage3:AMSC:57bf3f342f43,6.223389822257386,5.578511826743382,24,0.6857142857142857,train,ENTITY,35,AMSC
stage3:AMSC:57bf3f342f43,7.642715762382519,6.704437897616444,13,0.7222222222222222,oos,ENTITY,18,AMSC
stage3:AMSC:57bf3f342f43,7.073838487790264,5.591946472359544,50,0.6944444444444444,all,ENTITY,72,AMSC
stage3:AMZN:bdc7a3a74814,1.4937452614392541,1.5329905767528906,2,0.1111111111111111,stress,ENTITY,18,AMZN
stage3:AMZN:bdc7a3a74814,1.9343701371031383,1.4658005626212667,5,0.23809523809523808,train,ENTITY,21,AMZN
stage3:AMZN:bdc7a3a74814,2.3222481271366813,1.8877406630804505,4,0.4,oos,ENTITY,10,AMZN
stage3:AMZN:bdc7a3a74814,1.8516667113559038,1.6043113236934303,11,0.22448979591836735,all,ENTITY,49,AMZN
stage3:ANET:fe220620802b,1.9426570305555293,1.4364400980186431,5,0.21739130434782608,stress,ENTITY,23,ANET
stage3:ANET:fe220620802b,3.035968960180801,2.192837267485648,15,0.4166666666666667,train,ENTITY,36,ANET
stage3:ANET:fe220620802b,4.505713819267168,3.456752603461921,13,0.5909090909090909,oos,ENTITY,22,ANET
stage3:ANET:fe220620802b,3.1247123246069592,2.343645374065373,33,0.4074074074074074,all,ENTITY,81,ANET
stage3:APA:692dd6626ba8,5.05674929729828,5.030144322106356,8,0.5714285714285714,stress,ENTITY,14,APA
stage3:APA:692dd6626ba8,3.261555878849498,2.6772166008852905,10,0.43478260869565216,train,ENTITY,23,APA
stage3:APA:692dd6626ba8,4.2856999971058185,4.117912947982139,6,0.6,oos,ENTITY,10,APA
stage3:APA:692dd6626ba8,4.014197347803672,3.070440759430171,24,0.5106382978723404,all,ENTITY,47,APA
stage3:ARKW:296c057b4ef7,1.8919638764296325,2.5989072628003207,3,0.2727272727272727,stress,ENTITY,11,ARKW
stage3:ARKW:296c057b4ef7,4.240412028846802,3.5422305222719497,11,0.55,train,ENTITY,20,ARKW
stage3:ARKW:296c057b4ef7,2.22700842325734,2.163000652555347,3,0.3,oos,ENTITY,10,ARKW
stage3:ARKW:296c057b4ef7,3.1192665231764733,2.747665033837321,17,0.4146341463414634,all,ENTITY,41,ARKW
stage3:AVAV:3d66945d7c65,5.22392082417375,3.264135556565828,6,0.5,stress,ENTITY,12,AVAV
stage3:AVAV:3d66945d7c65,4.3316803287279715,1.605453095752174,7,0.3684210526315789,train,ENTITY,19,AVAV
stage3:AVAV:3d66945d7c65,2.2304499415285743,1.2426525914928543,4,0.36363636363636365,oos,ENTITY,11,AVAV
stage3:AVAV:3d66945d7c65,4.0362839403031145,1.958241166685315,17,0.40476190476190477,all,ENTITY,42,AVAV
stage3:AVGO:e4fd3cee2402,3.523208579733654,2.742930250148401,3,0.3,stress,ENTITY,10,AVGO
stage3:AVGO:e4fd3cee2402,2.066129683142914,1.9764376653905735,6,0.25,train,ENTITY,24,AVGO
stage3:AVGO:e4fd3cee2402,3.406551150283741,3.187860375043561,7,0.5,oos,ENTITY,14,AVGO
stage3:AVGO:e4fd3cee2402,2.7606440478487264,2.378635969519194,16,0.3333333333333333,all,ENTITY,48,AVGO
stage3:AXON:25b116de3cd4,1.2496145599593698,1.6776455980336058,1,0.07692307692307693,stress,ENTITY,13,AXON
stage3:AXON:25b116de3cd4,2.3604572663056773,1.6271549227034665,4,0.3076923076923077,train,ENTITY,13,AXON
stage3:AXON:25b116de3cd4,3.336961819090771,2.403378161336145,3,0.5,oos,ENTITY,6,AXON
stage3:AXON:25b116de3cd4,2.0922720204996947,1.6524002603685362,8,0.25,all,ENTITY,32,AXON
